NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR;STATUS_FXI3S;STATUS_DXI3S
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250806;0.0;1;14.1;1;511;9;25.0;1;1641;9;19.4;1;19.6;1;10.9;1;10.9;9;13.1;9;0;9;1.6;1;;;2.8;1;160;1;941;9;6.8;1;160;1;938;9;;;;;;;5.5;1;110;1;1010;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250807;0.0;1;15.1;1;400;9;29.9;1;1633;9;22.7;1;22.5;1;14.8;1;11.6;9;13.5;9;0;9;1.9;1;;;3.7;1;280;1;1558;9;8.6;1;230;1;1416;9;;;;;;;7.7;1;230;1;1416;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250808;0.0;1;17.3;1;502;9;27.4;1;1420;9;22.5;1;22.4;1;10.1;1;13.5;9;15.8;9;0;9;2.4;1;;;5.9;1;20;9;2042;9;10.0;1;40;9;2005;9;;;;;;;9.3;1;40;1;2010;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250809;0.0;1;18.2;1;242;9;27.6;1;1449;9;22.2;1;22.9;1;9.4;1;15.0;9;17.1;9;0;9;2.9;1;;;5.9;1;340;9;2020;9;11.6;1;330;9;2013;9;;;;;;;10.4;1;330;1;2013;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250810;0.0;1;14.7;1;435;9;28.8;1;1611;9;21.9;1;21.8;1;14.1;1;10.7;9;13.8;9;0;9;2.3;1;;;4.9;1;10;1;11;9;9.1;1;350;1;4;9;;;;;;;8.1;1;350;1;10;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250811;0.0;1;16.5;1;457;9;32.3;1;1429;9;25.1;1;24.4;1;15.8;1;12.6;9;14.6;9;0;9;2.5;1;;;4.4;1;100;1;1053;9;8.8;1;100;1;1029;9;;;;;;;8.6;1;100;1;1029;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250812;0.0;1;20.2;1;400;9;35.2;1;1607;9;27.7;1;27.7;1;15.0;1;16.3;9;19.1;9;0;9;2.3;1;;;4.8;1;250;1;1319;9;11.1;1;230;1;1319;9;;;;;;;9.7;1;240;1;1120;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250813;2.0;1;21.9;1;511;9;34.5;1;1325;9;26.3;1;28.2;1;12.6;1;18.6;9;20.9;9;0;9;1.7;1;;;5.2;1;280;1;1824;9;11.6;1;300;1;1823;9;;;;;;;10.7;1;300;1;1823;9;;;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250814;0.0;1;20.0;1;509;9;30.5;1;1556;9;24.8;1;25.3;1;10.5;1;17.2;9;18.6;9;0;9;2.6;1;;;5.5;1;20;9;2050;9;9.8;1;10;9;2046;9;;;;;;;9.1;1;10;1;2042;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250815;0.0;1;18.5;1;449;9;31.3;1;1603;9;24.6;1;24.9;1;12.8;1;16.8;9;17.8;9;0;9;3.3;1;;;4.9;1;30;1;558;9;8.9;1;30;1;553;9;;;;;;;8.4;1;30;1;551;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250816;0.0;1;18.9;1;613;9;28.4;1;1540;9;22.4;1;23.7;1;9.5;1;17.4;9;18.6;9;0;9;4.0;1;;;6.6;1;30;1;1833;9;12.2;1;30;9;1946;9;;;;;;;10.5;1;30;1;1941;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250817;0.0;1;16.3;1;514;9;28.4;1;1452;9;22.1;1;22.4;1;12.1;1;13.5;9;15.5;9;0;9;3.4;1;;;4.9;1;50;1;1605;9;10.5;1;50;1;1602;9;;;;;;;9.6;1;30;1;1326;9;;;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250818;0.0;1;15.8;1;502;9;29.1;1;1514;9;22.6;1;22.5;1;13.3;1;13.0;9;14.4;9;0;9;2.5;1;;;4.2;1;60;1;108;9;8.1;1;70;1;201;9;;;;;;;7.9;1;90;1;10;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250819;1.0;1;17.9;1;420;9;28.8;1;1147;9;22.1;1;23.4;1;10.9;1;14.2;9;16.8;9;0;9;1.8;1;;;4.4;1;210;1;1517;9;9.4;1;220;1;1528;9;;;;;;;8.9;1;220;1;1528;9;172;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250820;0.8;1;18.5;1;1550;9;19.8;1;1033;9;18.8;1;19.2;1;1.3;1;17.2;9;17.0;9;0;9;2.8;1;;;5.5;1;20;1;1927;9;11.1;1;50;1;1926;9;;;;;;;9.3;1;50;1;1927;9;217;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250821;0.0;1;15.9;1;21;9;24.7;1;1402;9;19.5;1;20.3;1;8.8;1;14.5;9;14.7;9;0;9;4.0;1;;;6.2;1;30;1;1704;9;13.7;1;50;9;2206;9;;;;;;;11.8;1;50;1;2210;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250822;0.0;1;13.7;1;505;9;22.8;1;1403;9;17.9;1;18.3;1;9.1;1;10.9;9;12.8;9;0;9;3.0;1;;;5.4;1;20;1;1052;9;9.2;1;40;1;1046;9;;;;;;;8.7;1;40;1;1046;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250823;0.0;1;13.1;1;444;9;25.3;1;1359;9;18.7;1;19.2;1;12.2;1;8.9;9;12.0;9;0;9;2.3;1;;;4.0;1;40;1;1757;9;8.0;1;80;1;1729;9;;;;;;;6.8;1;80;1;1729;9;0;9;0;1
